,datetimehourly,weathertype
841,1/7/17 4:00,1
842,1/7/17 5:00,1
843,1/7/17 6:00,1
844,1/7/17 7:00,1
845,1/7/17 8:00,1
846,1/7/17 9:00,1
847,1/7/17 10:00,1
848,1/7/17 11:00,1
849,1/7/17 12:00,1
850,1/7/17 13:00,1
851,1/7/17 14:00,1
852,1/7/17 15:00,1
853,1/7/17 16:00,1
854,1/7/17 17:00,1
855,1/7/17 18:00,1
856,1/7/17 19:00,1
857,1/7/17 20:00,1
858,1/7/17 21:00,1
859,1/7/17 22:00,1
860,1/7/17 23:00,1
861,1/8/17 0:00,1
862,1/8/17 1:00,1
863,1/8/17 2:00,1
864,1/8/17 3:00,1
865,1/8/17 4:00,1
866,1/8/17 5:00,1
867,1/8/17 6:00,1
868,1/8/17 7:00,1
869,1/8/17 8:00,1
870,1/8/17 9:00,1
871,1/8/17 10:00,1
872,1/8/17 11:00,1
873,1/8/17 12:00,1
874,1/8/17 13:00,1
875,1/8/17 14:00,1
876,1/8/17 15:00,1
877,1/8/17 16:00,1
878,1/8/17 17:00,1
879,1/8/17 18:00,1
880,1/8/17 19:00,1
881,1/8/17 20:00,1
882,1/8/17 21:00,1
883,1/8/17 22:00,1
884,1/8/17 23:00,1
885,1/9/17 0:00,1
886,1/9/17 1:00,1
887,1/9/17 2:00,1
888,1/9/17 3:00,1
889,1/9/17 4:00,1
890,1/9/17 5:00,1
891,1/9/17 6:00,1
892,1/9/17 7:00,1
893,1/9/17 8:00,1
894,1/9/17 9:00,1
895,1/9/17 10:00,1
896,1/9/17 11:00,1
897,1/9/17 12:00,1
898,1/9/17 13:00,1
899,1/9/17 14:00,1
900,1/9/17 15:00,1
901,1/9/17 16:00,1
902,1/9/17 17:00,1
903,1/9/17 18:00,1
904,1/9/17 19:00,1
905,1/9/17 20:00,1
906,1/9/17 21:00,1
907,1/9/17 22:00,1
908,1/9/17 23:00,1
909,1/10/17 0:00,1
910,1/10/17 1:00,1
911,1/10/17 2:00,1
912,1/10/17 4:00,1
913,1/10/17 5:00,1
914,1/10/17 6:00,1
915,1/10/17 7:00,1
916,1/10/17 8:00,1
917,1/10/17 9:00,1
918,1/10/17 10:00,1
919,1/10/17 11:00,1
920,1/10/17 12:00,1
921,1/10/17 13:00,1
922,1/10/17 14:00,1
923,1/10/17 15:00,1
924,1/10/17 16:00,1
925,1/10/17 17:00,1
926,1/10/17 18:00,1
927,1/10/17 19:00,1
928,1/10/17 20:00,1
929,1/10/17 21:00,1
930,1/10/17 22:00,1
931,1/10/17 23:00,1
932,1/11/17 0:00,1
933,1/11/17 1:00,1
934,1/11/17 2:00,1
935,1/11/17 3:00,1
936,1/11/17 4:00,1
937,1/11/17 5:00,1
938,1/11/17 6:00,1
939,1/11/17 7:00,1
940,1/11/17 8:00,1
941,1/11/17 9:00,1
942,1/11/17 10:00,1
943,1/11/17 11:00,1
944,1/11/17 12:00,1
945,1/11/17 13:00,1
946,1/11/17 14:00,1
947,1/11/17 15:00,1
948,1/11/17 16:00,1
949,1/11/17 17:00,1
950,1/11/17 18:00,1
951,1/11/17 19:00,1
952,1/11/17 20:00,1
953,1/11/17 21:00,1
954,1/11/17 22:00,1
955,1/11/17 23:00,1
956,1/12/17 0:00,1
957,1/12/17 1:00,1
958,1/12/17 2:00,1
959,1/12/17 3:00,1
960,1/12/17 4:00,1
961,1/12/17 5:00,1
962,1/12/17 6:00,1
963,1/12/17 7:00,1
964,1/12/17 8:00,1
965,1/12/17 9:00,1
966,1/12/17 10:00,1
967,1/12/17 11:00,1
968,1/12/17 12:00,1
969,1/12/17 13:00,1
970,1/12/17 14:00,1
971,1/12/17 15:00,1
972,1/12/17 16:00,1
973,1/12/17 17:00,1
974,1/12/17 18:00,1
975,1/12/17 19:00,1
976,1/12/17 20:00,1
977,1/12/17 21:00,1
978,1/12/17 22:00,1
979,1/12/17 23:00,1
980,1/13/17 0:00,1
981,1/13/17 1:00,1
982,1/13/17 2:00,1
983,1/13/17 3:00,1
984,1/13/17 4:00,1
985,1/13/17 5:00,1
986,1/13/17 6:00,1
987,1/13/17 7:00,1
988,1/13/17 8:00,1
989,1/13/17 9:00,1
990,1/13/17 10:00,1
991,1/13/17 11:00,1
992,1/13/17 12:00,1
993,1/13/17 13:00,1
994,1/13/17 14:00,1
