,datetimehourly,totalsales,quantity,newcustomer,returningcustomer,queueline
570,12/26/16 19:00,47.58,3.174,0,1,1
571,12/26/16 20:00,59.62,3.977,0,1,1
572,12/26/16 21:00,62.72,4.184,0,2,2
573,12/26/16 22:00,0,0,0,0,0
574,12/26/16 23:00,0,0,0,0,0
575,12/27/16 0:00,0,0,0,0,0
576,12/27/16 1:00,0,0,0,0,0
577,12/27/16 2:00,0,0,0,0,0
578,12/27/16 3:00,0,0,0,0,0
579,12/27/16 4:00,0,0,0,0,0
580,12/27/16 5:00,0,0,0,0,0
581,12/27/16 6:00,0,0,0,0,0
582,12/27/16 7:00,0,0,0,0,0
583,12/27/16 8:00,0,0,0,0,0
584,12/27/16 9:00,0,0,0,0,0
585,12/27/16 10:00,0,0,0,0,0
586,12/27/16 11:00,61.67,4.114,0,1,1
587,12/27/16 12:00,71.22,4.751,0,1,1
588,12/27/16 13:00,46.29,3.088,0,1,1
589,12/27/16 14:00,104.67,6.983,1,1,2
590,12/27/16 15:00,0,0,0,0,0
591,12/27/16 16:00,0,0,0,0,0
592,12/27/16 17:00,45.84,3.058,0,1,1
593,12/27/16 18:00,0,0,0,0,0
594,12/27/16 19:00,0,0,0,0,0
595,12/27/16 20:00,56.3,3.756,0,1,1
